Student_ID,Attendance_%,Average_Quiz_Score,Weekly_LMS_Logins,Time_Spent_Hours,Assignments_Submitted,Engagement_Score,Dropout_Risk
S001,78,88,16,2.6,0,20,Low
S002,91,57,19,7.9,2,65,Medium
S003,68,95,9,1.2,9,40,Medium
S004,54,71,5,7.6,8,55,High
S005,82,74,14,1.8,4,73,Low
S006,47,91,10,2.7,5,76,High
S007,60,86,4,2.6,3,20,Medium
S008,78,35,0,10.1,9,82,High
S009,97,57,7,11.4,1,73,Medium
S010,58,57,11,9.2,7,74,High
S011,62,73,11,14.5,5,59,Medium
S012,50,59,4,6.2,4,34,High
S013,50,91,6,5,8,40,High
S014,63,91,3,13.2,0,66,Medium
S015,92,30,5,4.1,4,92,High
S016,75,56,12,14.5,5,72,Medium
S017,79,91,19,1.2,4,28,Low
S018,63,32,14,14.6,5,93,High
S019,42,99,2,1.6,5,71,High
S020,61,56,7,13.5,6,76,Medium
S021,92,38,19,8.4,3,45,High
S022,41,91,15,14.9,7,60,High
S023,63,66,12,2,6,54,Medium
S024,83,80,17,8.8,8,82,Low
S025,69,73,9,14.6,6,44,Medium
S026,77,53,18,8.3,2,94,Medium
S027,41,88,16,9.8,2,57,High
S028,99,61,18,10.7,7,21,Medium
S029,60,81,4,7.4,4,26,Medium
S030,72,91,8,9.8,3,53,Medium
S031,51,87,11,9.2,7,36,High
S032,97,81,0,13.6,5,62,Low
S033,61,41,0,1.6,1,78,High
S034,83,68,14,4.9,3,70,Low
S035,64,31,1,14.3,3,73,High
S036,88,32,15,13.5,5,43,High
S037,66,85,7,7.4,5,44,Medium
S038,98,88,12,9.7,0,90,Low
S039,81,31,0,4.9,7,71,High
S040,67,31,15,3.6,5,89,High
S041,99,83,6,7.5,2,52,Low
S042,55,30,4,5.9,8,68,High
S043,54,48,2,9.2,1,48,High
S044,86,31,11,2.1,7,82,High
S045,90,82,15,14.6,9,41,Low
S046,83,73,18,14.8,2,45,Low
S047,94,61,4,10.8,4,47,Medium
S048,91,99,13,8.5,5,68,Low
S049,96,61,4,5.3,9,90,Medium
S050,42,97,14,12.4,5,68,High
S051,76,84,16,10.6,3,39,Low
S052,90,85,13,3.3,2,82,Low
S053,46,46,19,13.8,3,80,High
S054,60,67,4,12.5,0,68,Medium
S055,48,53,11,14.3,3,90,High
S056,78,98,15,11.2,0,20,Low
S057,57,99,15,9.6,0,32,High
S058,43,40,6,6.9,9,70,High
S059,64,45,3,14.1,5,75,High
S060,99,88,0,13.1,4,81,Low
S061,53,99,4,1.6,3,51,High
S062,89,32,9,1.4,2,49,High
S063,97,49,4,6.3,0,48,High
S064,48,88,3,12.3,5,68,High
S065,65,65,1,14.8,1,64,Medium
S066,92,48,19,3.1,7,49,High
S067,41,96,9,9.3,9,35,High
S068,59,48,18,6.3,4,59,High
S069,67,49,0,14.6,6,38,High
S070,86,81,4,12.8,9,37,Low
S071,99,62,12,12.7,1,20,Medium
S072,46,69,3,7.6,7,97,High
S073,83,68,15,6.8,1,66,Low
S074,47,30,15,4.8,3,85,High
S075,86,40,1,1.8,0,57,High
S076,74,86,16,13.1,4,70,Medium
S077,53,79,19,12.4,8,82,High
S078,56,52,11,15,0,23,High
S079,75,60,17,15,8,20,Medium
S080,89,71,2,8.8,7,27,Low
S081,79,36,0,11.8,5,48,High
S082,43,45,0,14.2,6,74,High
S083,41,89,18,12.9,2,22,High
S084,45,31,10,4.5,0,51,High
S085,93,30,4,7.3,4,29,High
S086,81,77,11,2.8,1,93,Low
S087,43,41,2,14.4,4,53,High
S088,93,98,0,9.5,7,74,Low
S089,68,66,0,4.2,8,51,Medium
S090,57,61,7,10.4,1,69,High
S091,65,38,9,9.7,2,26,High
S092,83,48,10,6,2,27,High
S093,73,77,11,2.6,0,84,Medium
S094,49,32,12,10.4,7,76,High
S095,75,49,11,8.3,5,86,High
S096,53,53,13,11.8,7,78,High
S097,70,83,1,8.3,8,91,Medium
S098,87,62,18,12.9,4,73,Medium
S099,54,53,17,8.7,2,86,High
S100,47,65,2,8.9,4,70,High
S101,53,67,16,13.3,4,27,High
S102,62,54,7,6.6,4,53,Medium
S103,99,47,9,2.9,2,54,High
S104,96,95,1,1.4,9,97,Low
S105,79,83,18,11.6,3,51,Low
S106,60,64,8,9.7,8,65,Medium
S107,55,90,6,10.9,9,35,High
S108,84,70,3,4,8,87,Low
S109,57,62,17,2.9,1,56,High
S110,86,97,12,1.2,7,73,Low
S111,92,62,10,5.9,7,33,Medium
S112,63,43,3,9.3,6,74,High
S113,65,50,3,6.5,7,67,Medium
S114,64,77,9,7.1,2,26,Medium
S115,99,49,4,13.7,5,93,High
S116,99,37,8,5.9,0,26,High
S117,99,36,2,8.2,6,52,High
S118,84,96,16,12,0,42,Low
S119,80,46,2,6.6,8,38,High
S120,68,62,15,9.7,0,38,Medium
S121,54,77,3,13.1,0,55,High
S122,84,88,17,14.3,6,48,Low
S123,40,51,16,3.1,1,79,High
S124,64,59,6,14,4,21,Medium
S125,46,67,4,7.9,7,20,High
S126,48,80,11,4.6,7,66,High
S127,63,83,16,7.4,2,88,Medium
S128,40,37,12,14.7,6,39,High
S129,83,56,2,7.9,2,30,Medium
S130,47,56,8,5.6,5,21,High
S131,63,50,16,9.9,5,86,Medium
S132,50,59,16,4.4,2,31,High
S133,90,57,19,2.1,6,39,Medium
S134,56,93,15,2.8,2,24,High
S135,47,98,12,2.8,7,56,High
S136,74,90,18,3.1,9,57,Medium
S137,74,77,16,2.9,3,28,Medium
S138,72,48,3,10,0,72,High
S139,98,33,11,3.5,3,63,High
S140,44,64,8,5.8,6,43,High
S141,81,93,18,13.6,3,93,Low
S142,78,78,11,7.6,5,49,Low
S143,97,46,8,10.3,8,78,High
S144,80,73,6,3.4,0,33,Low
S145,67,59,13,3.7,4,28,Medium
S146,46,75,19,1.6,6,59,High
S147,48,35,18,3.4,0,85,High
S148,47,66,14,4.9,3,44,High
S149,51,53,15,3.5,5,92,High
S150,73,75,4,2.2,1,41,Medium
S151,72,82,2,2.7,9,23,Medium
S152,87,89,11,7.5,4,45,Low
S153,94,92,19,3.9,9,77,Low
S154,62,61,3,6.1,0,48,Medium
S155,63,62,15,8,5,56,Medium
S156,76,96,6,10.7,5,94,Low
S157,74,47,12,1.6,3,89,High
S158,83,54,9,12.2,7,37,Medium
S159,79,83,6,9.8,3,61,Low
S160,61,87,13,2.1,7,60,Medium
